ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
47,Ralph Lauren,Polo Double Black,Holzig,Orientalisch / Würzig,"Kopf: Mango, Pfeffer
Herz: Kaffee, Muskatnuss
Basis: Kardamom, Hölzer, Wacholderbeere","würzig, holzig, süß, fruchtig, gourmand","maskulin, exotisch, stilvoll","eleganter Mann mit Espresso in einer Lounge, umgeben von dunklem Holz und Gewürzen","Abend, Date, Club","Herbst, Winter",5–7 h,moderat,ungewöhnliche Mango‑Kaffee‑Kombination in einem Herrenparfum,Ralph Lauren,Polo Double Black,,,Douglas Wandelhalle,,
48,Pierre Guillaume,Sambaka,Floral,Gourmand / Orientalisch-Holzig,"Kopf: Sandelholz, Patchouli, Ylang‑Ylang
Herz: Jasmin Sambac, Cardamom, Assam‑Tee
Basis: Vanille, Benzoe, Amber, Moschus","süß, blumig, cremig, balsamisch","warm, exotisch, beruhigend","Jasmintee bei Sonnenuntergang, gewürzt mit Kardamom und weichen Hölzern","Abend, entspannte Momente","Herbst, Winter",7–8 h,moderat,Verbindung von Jasmin-Sambac mit Tee und weichem Sandelholz,Pierre Guillaume,Sambaka,,,?,,
49,Fueguia 1833,Arábica,Gourmand,Holzig,"Kopf: Kardamom, Clove
Herz: Arabica‑Kaffeebohne, Kakao, Tonkabohne
Basis: Vanille, Moschus, Amber, Leder","würzig, süß, kaffeelastig, harzig","intensiv, warm, gourmand",südamerikanisches Café – frisch gerösteter Kaffee und Gewürze schweben in der Luft,"Abend, gemütliche Abende","Herbst, Winter",8–9 h,stark,fokussiert sich auf dunklen Kaffee mit orientalischen Gewürzen,Fueguia 1833,Arábica,,,?,,
50,Hermès,Brin de Réglisse,Fougère,Aromatisch / Gourmand,"Kopf: Lavendel, Basilikum
Herz: Lakritze (Süßholz), Heu
Basis: Leder, Vanille, Vetiver","kräuterig, ledrig, süß‑würzig","modern, minimalistisch, warm",Lavendelwiese mit einem Hauch Lakritz und elegantem Lederband,"Büro, unkonventionelle Anlässe","Frühling, Herbst",6–7 h,moderat,seltene Kombination von Lavendel und Lakritze in einem eleganten Lederduft,Hermès,Brin de Réglisse,,,?,,
51,Parfums de Marly,Layton,Orientalisch,Floral / Zitrisch,"Kopf: Apfel, Lavendel, Bergamotte
Herz: Geranie, Jasmin, Veilchen
Basis: Vanille, Amber, karamellisierte Kaffeebohne, Gaiac-Holz, Patchouli, Rosa Pfeffer","süß, warm, würzig, holzig","opulent, verführerisch, elegant","Pferderennbahn in Versailles: Apfelkuchen, Gewürze und Vanille","Abend, Date, besondere Anlässe","Herbst, Winter",8–10 h,stark,vereint Apfel und Vanille mit Kaffee und Ambra; Bestseller der Marke,Parfums de Marly,Layton,0.50,"Apfelig, würzig, geht so","Alsterhaus, Parfums Lubner",,
52,Valentino,Uomo Born in Roma Coral Fantasy,Orientalisch,Fruchtig / Würzig,"Kopf: Roter Apfel, Bergamotte, Kardamom
Herz: Bourbon‑Geranie, Muskatellersalbei, Provenzalischer Lavendel
Basis: Patchouli, Tabak","süß‑fruchtig, würzig, aromatisch","modern, jugendlich, verführerisch","Abendspaziergang in Rom – roter Apfel in goldenem Licht, Tabak im Hintergrund","Date, Freizeit, Nacht","Herbst, Winter",6–8 h,moderat,moderne Kombination aus rotem Apfel und Tabak; urbaner Fougère,Valentino,Uomo Born in Roma Coral Fantasy,0.40,"Apfelig süß, klassisch",Douglas EEZ,,
53,Parfums de Marly,Sedley,Holzig,Aromatisch / Zitrisch,"Kopf: Spearmint, Aquatische Noten, Bergamotte, Hivernal®
Herz: Solarnote, Bourbon-Geranium, Lavendel
Basis: Weißer Moschus, Zedernholz, Sandelholz, Weihrauch","frisch, zitrisch, aquatisch, holzig","klar, modern, dynamisch","kühler Morgen am See, Minzblätter und Sonnenstrahlen auf dem Wasser","Büro, Alltag","Frühling, Sommer",6–7 h,moderat,setzt synthetischen Hivernal® für eisige Frische ein und verbindet Minze mit hellem Holz,Parfums de Marly,Sedley,0.40,"Zitrisch dezent, seifig","Alsterhaus, Parfums Lubner",,
54,Creed,Silver Mountain Water,Fougère,Aquatisch / Zitrisch,"Kopf: Bergamotte, Schwarze Johannisbeere, Galbanum, Orange
Herz: Ozonische Noten, Tee
Basis: Moschus, Sandelholz","frisch, ozonisch, zitrisch, grün","kühl, sauber, sportlich","sprudelnder Gebirgsbach, frische Teeblätter und Zitrusfrüchte","Alltag, Sport","Frühling, Sommer",6–7 h,moderat,ikonischer Alpen-Duft mit Teearomen und kühler Ozonnote,Creed,Silver Mountain Water,0.40,"Klar, langweilig ",Alsterhaus ,,
55,Calvin Klein,CK One (EdT),Zitrisch,Aromatisch / Grün,"Kopf: Bergamotte, Zitrone, Mandarine, Papaya
Herz: Grüner Tee, Jasmin, Maiglöckchen, Muskat, Veilchen, Rose
Basis: Moschus, Amber","frisch, zitrisch, aromatisch, grün","jugendlich, lässig, sauber",90er-Jahre-Minimalismus: weißes T‑Shirt und frischer Grüntee,"Alltag, Freizeit","Frühling, Sommer",4–6 h,moderat,bahnbrechender Unisex-Duft mit grünem Tee und heller Zitrusfrische,Calvin Klein,CK One (EdT),0.40,"Zitrisch, frisch, leicht grün, langweilig ",Douglas EEZ,,
56,Maison Margiela,Jazz Club,Orientalisch,Holzig / Ledrig,"Kopf: Rosa Pfeffer, Neroli, Primofiore-Zitrone
Herz: Rum‑Absolue, Muskatellersalbei, Java-Vetiver
Basis: Tabak‑Absolue, Vanille, Styrax","süß, boozy, würzig, rauchig","warm, gemütlich, sinnlich",Lederpolster und Zigarrenrauch in einem New Yorker Jazzclub mit Rumcocktails,"Abend, Lounge, Date","Herbst, Winter",6–8 h,moderat,realistische Rum‑Tabak‑Atmosphäre aus der „Replica“-Kollektion,Maison Margiela,Jazz Club,0.75,"Etwas süß, fruchtig, leicht ledrig, Trauben, echt gut!",Alsterhaus ,,
57,Maison Margiela,Under the Lemon Trees,Zitrisch,Grün / Teearomatisch,"Kopf: Petitgrain, Calamondin, Kardamom
Herz: Grüner Tee, Maté‑Absolue, Koriander
Basis: Moschus, Cistus‑Absolue, Virginische Zeder","zitrisch, grün, fruchtig, teeartig","entspannt, belebend, natürlich",unter Zitronenbäumen sitzen und Kräutertee mit Kardamom genießen,"Alltag, Wochenende","Frühling, Sommer",6–7 h,moderat,verbindet seltenes Kalimansi-Kalabrie-Limettenaroma mit Maté und Moschus,Maison Margiela,Under the Lemon Trees,0.85,"Sehr frisch und zitrisch, echt schön!",Alsterhaus ,,
58,Maison Margiela,By the Fireplace,Orientalisch,Gourmand / Holzig,"Kopf: Rosa Pfeffer, Orangenblüte, Nelken
Herz: Kastanienakkord, Guajakholz, Wacholder
Basis: Vanille, Peru-Balsam, Cashmeran","süß, rauchig, warm, holzig","nostalgisch, gemütlich, winterlich","Kaminabend im Chalet – brennende Kastanien, Rauch und süße Vanille","Abend, Wintertage","Herbst, Winter",7–8 h,moderat,realistischer Rauch‑ und Kastanienakkord aus der „Replica“-Kollektion,Maison Margiela,By the Fireplace,0.35,"Sehr trockenes Holz, leicht ledrig, nicht so meins",Alsterhaus ,,
59,Maison Margiela,From the Garden,Chypre,Grün / Zitrisch,"Kopf: Schwarze Johannisbeere, Grüne Mandarine, Grapefruit
Herz: Tomatenblatt, Bourbon-Geranie, Rose
Basis: Kristallisierter Moos, Indonesischer Patchouli, Weißer Moschus","grün, erdig, zitrisch, krautig","natürlich, nostalgisch, rustikal",sonnendurchfluteter Gemüsegarten voller Tomatenranken und Zitrusbäume,"Freizeit, Gartenarbeit","Frühling, Sommer",6–7 h,moderat,"betont Tomatenblatt- und Cassis-Akkorde, ungewöhnlicher grüner Duft",Maison Margiela,From the Garden,0.95,"Echt gut, frisch, tomatenstrauch aber auch etwas anderes was so naja ist schwer süßlich, wird mit der Zeit tomatig bitterlich grapefruitig ",Alsterhaus ,,
60,Maison Margiela,Autumn Vibes,Holzig,Grün / Würzig,"Kopf: Koriander, Kardamom, Rosa Pfeffer
Herz: Weihrauch, Möhrensamen, Muskatnuss
Basis: Zedernholz, Labdanum, Tannenbalsam, Moos","holzig, würzig, harzig, grün","warm, gemütlich, naturverbunden","herbstlicher Waldspaziergang mit Duft von feuchtem Holz, Gewürzen und Rauch","Freizeit, Spaziergang","Herbst, Winter",6–7 h,moderat,fängt die Stimmung eines verregneten Waldes mit würzigem Weihrauch ein,Maison Margiela,Autumn Vibes,0.80,"Eröffnet frisch, leicht holzig, minimal rauchig",Alsterhaus,,
61,Guerlain,Mandarine Basilic Harvest,Zitrisch,Aromatisch / Grün,"Lineare Noten: Kalabrische Mandarine, Basilikum, Grüner Tee, Hölzer","fruchtig, herb, spritzig, grün","saftig, unbeschwert, sonnig",frisch geschälte Mandarinen und Basilikumblätter unter mediterraner Sonne,"Alltag, Sommerausflug","Frühling, Sommer",2–4 h,moderat,limitierte Harvest-Edition mit besonders natürlicher Mandarinenessenz,Guerlain,Mandarine Basilic Harvest,0.70,Echt gut frisch und grün aber etwas zu fruchtig aber zu floral,Douglas EEZ,,
62,Guerlain,Tobacco Honey,Ledrig,Tabak,"Lineare Noten: Honig, Tabak, Nelken, Tonkabohne, Vanille, Anis, Oud, Sandelholz, Sesam","süß, würzig, rauchig, harzig","warm, opulent, gourmand","orientalischer Salon mit dickem Honig, Tabakrauch und Gewürzen","Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,luxuriöse Honig‑Tabak‑Melange mit exotischen Gewürzen und Oud,Guerlain,Tobacco Honey,0.75,"Sehr spannend! Unbedingt im Winter ausprobieren  - sehr süß, wie met ",Alsterhaus,,
63,Calvin Klein,CK One Essence,Zitrisch,Aromatisch / Grün,"Kopf: Blutorange, Kalabrische Bergamotte, Weißer Tee, Schwarzer Pfeffer
Herz: Grüner Tee, Spearmint, Ägyptische Geranie
Basis: Kristallmoos, Australisches Sandelholz, Moschus, Weihrauch","zitrisch, frisch, würzig, tea","modern, belebend, klar",eiskalter Zitronen-Grüntee mit Pfeffer und Moos in einem Sommergarten,"Büro, Freizeit, Alltag","Frühling, Sommer",6–8 h,moderat,intensivierte Version des CK One mit tieferem Tee- und Pfefferakkord,Calvin Klein,CK One Essence,0.50,"Frischer als regulär, leicht seifig",Douglas EEZ,,
64,Bvlgari,Pour Homme (EDP 2024),Holzig,Tee / Zitrisch,"Kopf: Darjeeling‑Tee, Ingwer
Herz: Ceylon‑Tee, Gaiac‑Holz
Basis: Ambrettesamen‑Absolue, Moschus","frischer Tee, holzig, würzig","elegant, sanft, beruhigend",luxuriöser Teesalon mit würzigem Ingwer und warmem Holz,"Büro, Alltag","Frühling, Herbst",7–8 h,moderat,edles Tee‑duftprofil in EDP‑Version mit sanfter Wärme,Bvlgari,Pour Homme (EDP 2024),0.70,Holzig aber frisch,Douglas EEZ,,
65,By Kilian,Imperial Tea,Zitrisch,Floral / Grün,"Lineare Noten: Grüner Tee, Bergamotte, Jasmin Sambac, Laminaria (Seetang), Moschus, Vetiver","teeartig, floral, frisch, grün","raffiniert, luftig, gelassen",Jasmin-Grüntee in einem asiatischen Garten mit leichter Meeresbrise,"Alltag, Nachmittagstee","Frühling, Sommer",6–7 h,moderat,realistischer Jasmin-Grüntee-Akkord mit maritimer Note,By Kilian,Imperial Tea,0.60,Zu pudrig ,Alsterhaus,,
66,Montale,Herbal Aquatica,Holzig,Aquatisch / Orientalisch,"Kopf: Salbei, Kalabrische Bergamotte, Kräuter, Minze
Herz: Meeresnoten, Lotus, Grüner Tee, Papyrus
Basis: Brauner Zucker, Vanille, Amber, Sandelholz","frisch, aquatisch, grün, süß","kühlend, harmonisch, entspannend",Lotus­teich mit Kräutertee und sanfter Vanillebrise,"Freizeit, Sommerabende","Frühling, Sommer",8–10 h,stark,verbindet erfrischende Meeres‑ und Kräuterakkorde mit süßem braunem Zucker,Montale,Herbal Aquatica,,,Parfums Lubner,,
67,Molinard,Thé Basilic,Zitrisch,Aromatisch / Grün,"Kopf: Basilikum, Zitrone, Limette
Herz: Grüntee, Feige, Lavendel
Basis: Moschus, Helle Hölzer","frisch, kräuterig, grün, zitrisch","belebend, mediterran, klar",Eistee mit frischem Basilikum auf einer Sommerterrasse,"Alltag, Freizeit, Büro","Frühling, Sommer",5–7 h,moderat,mediterraner Basilikumtee-Duft mit Zitrusfrische und Feigenakkord,Molinard,Thé Basilic,,,?,,
68,Armaf,Club de Nuit Intense Man,Ledrig,Aromatisch / Holzig / Zitrisch,"Kopf: Zitrone, Bergamotte, Ananas, Apfel, Schwarze Johannisbeere
Herz: Birke, Jasmin, Rose
Basis: Ambergris, Moschus, Patchouli, Vanille","zitrisch, fruchtig, rauchig, holzig","kraftvoll, modern, selbstbewusst",Anzugträger mit rauchiger Ananasnote – erschwingliche Aventus-Alternative,"Abend, Business, Freizeit",ganzjährig,8–10 h,stark,beliebter Aventus‑Klon mit markant rauchigem Ananas‑Auftakt,Armaf,Club de Nuit Intense Man,,,"Douglas Hauptbahnhof, Douglas Überseequartier",,
69,Rabanne,Invictus (EdT),Fougère,Aquatisch / Zitrisch,"Kopf: Meeresnoten, Grapefruit
Herz: Lorbeerblatt, Jasmin
Basis: Ambergris, Eichenmoos, Patchouli, Gaiac-Holz","frisch, süß, maritim, holzig","sportlich, dynamisch, jugendlich",Stadionjubel und Meerwind – Grapefruit und Meeresluft auf warmer Haut,"Sport, Freizeit, Club",Ganzjährig (vor allem Sommer),6–7 h,moderat,ikonischer Pokalflakon; kraftvoller maritimer Fruitchord,Rabanne,Invictus (EdT),0.40,"Aquatisch, frisch, langweilig ",Douglas EEZ,,
70,Salvatore Ferragamo,Uomo Signature,Gourmand,Ledrig / Würzig,"Kopf: Mandarine, Grapefruit, Rosa Pfeffer
Herz: Zimt, Kardamom, Zypresse
Basis: Leder, Tonkabohne, Gerösteter Kaffee, Patchouli","süß, würzig, ledrig, gourmand","kühn, maskulin, dunkel",italienischer Espresso mit Gewürzen und Lederhandschuhen,"Abend, Winter, Date","Herbst, Winter",7–9 h,stark,vereint Kaffee und Leder mit Gewürzen zu einem sinnlichen Duft,Salvatore Ferragamo,Uomo Signature,,,?,,
71,Profumum Roma,Acqua di Sale,Aquatisch,Holzig / Meeres,"Lineare Noten: Seetang, Myrte, Zedernholz","maritim, salzig, aromatisch, holzig","minimalistisch, beruhigend, naturverbunden","mediterraner Küstenspaziergang – Meeresbrise, Tang und Pinienharz","Urlaub, Alltag",Sommer,10–12 h,stark,realistischer maritimer Duft mit Seegras und Kräutern,Profumum Roma,Acqua di Sale,,,Parfums Lubner,,
72,Chanel,Allure Homme Sport (EdT),Zitrisch,Aquatisch / Moschus,"Kopf: Mandarine, Meeresnoten, Orange, Aldehyde
Herz: Zedernholz, Neroli, Pfeffer
Basis: Moschus, Tonkabohne, Amber, Vanille, Vetiver","frisch, würzig, süß, holzig","sauber, sportlich, attraktiv","frische Dusche nach dem Sport am Meer, Zitrusfrüchte und warmer Tonka","Alltag, Fitness, Freizeit","Frühling, Sommer",6–8 h,moderat,sportlicher Ableger von Allure mit maritimer Tonkabohnen-Basis,Chanel,Allure Homme Sport (EdT),0.30,"Zu Alkoholig, zu ?, nicht meins",Douglas EEZ,,
73,Marie Jeanne,Adèle,Floral,Grün / Zitrisch,"Kopf: Italienische Bergamotte, Italienische Mandarine, Eisenkraut
Herz: Tomatenblatt, Iris, Labdanum
Basis: Balkan-Eichenmoos, Haitianischer Vetiver","grün, zitrisch, erdig, floral","subtil, elegant, frisch",Spaziergang durch einen Sommergarten mit Tomatenblättern und Iris,"Büro, Alltag","Frühling, Sommer",4–6 h,moderat,ungewöhnliche Kombination aus Tomatenblatt und Iris; Eau Fraîche,Marie Jeanne,Adèle,0.70,"Frisch, holzig, fruchtig, gut",Alsterhaus,,
74,Marie Jeanne,Brume Matcha,Fougère,Aromatisch / Grün / Tee,"Noten: Französische Pfefferminze, Matcha, Ägyptisches Basilikum, Ägyptische Geranie, Himalaya-Zeder, Italienische Bergamotte","grün, frisch, würzig, süßlich","beruhigend, herb, meditativ",Matcha-Zeremonie im Zen-Garten; Minze und Tee erfrischen den Geist,"Alltag, Yoga, entspannte Momente","Frühling, Sommer",ca. 6 h,moderat,moderne Matcha-Komposition mit pfeffriger Frische,Marie Jeanne,Brume Matcha,0.30,Viel zu süß ,Alsterhaus,,
75,Marie Jeanne,Tonka Lavande,Fougère,Aromatisch / Gourmand,"Kopf: Rosmarin, Italienische Bergamotte
Herz: Lavendel, Salbei, Zedernholz
Basis: Tonkabohne, Vetiver","lavendelig, kräutrig, süß, holzig","beruhigend, cosy, authentisch","Lavendelfeld in der Provence am Morgen, mit Kräutern und warmer Tonka","Alltag, entspannte Abende","Frühling, Herbst, Winter",ca. 7 h,moderat,"naturgetreue Lavendel-Interpretation, harmonisch mit Tonkabohne",Marie Jeanne,Tonka Lavande,0.60,"Tonka, Lavendel, sehr gut, aber später zu ledrig",Alsterhaus,,
76,Marie Jeanne,Jasmin Patchouli,Chypre,Floral / Grün,"Kopf: Grüne Noten, Feigenblatt
Herz: Jasmin, Ägyptischer Jasmin
Basis: Indonesischer Patchouli, Ambrette (Moschus-Malve)","blumig, grün, erdig, moschusartig","sinnlich, natürlich, elegant",Sommerabend im Jasmingarten mit feuchtem Erdduft von Patchouli,"Freizeit, Date","Frühling, Sommer, Herbst",6–7 h,moderat,"reizvolle Balance aus frischem Feigenblatt, üppigem Jasmin und erdigem Patchouli",Marie Jeanne,Jasmin Patchouli,0.20,Zu intensiv!,Alsterhaus,,
77,Miller Harris,Tea Tonique,Zitrisch,Aromatisch / Tee,"Kopf: Zitrone, Kalabrische Bergamotte, Petitgrain
Herz: Earl-Grey-Tee, Maté-Tee, Grüner Tee, Muskatnuss
Basis: Birkenteer, Moschus","zitrisch, teeartig, würzig, holzig","britisch, belebend, sanft",morgendlicher Earl-Grey im Wintergarten mit leichter Zitrusbrise,"Alltag, Büro, Nachmittagstee","Frühling, Sommer",5–7 h,moderat,realistischer Schwarztee-Akkord mit leicht rauchigem Birkenteer,Miller Harris,Tea Tonique,0.50,"Frisch, spritzig, zu rosig, zu süß ",Alsterhaus,,
78,Miller Harris,Wander Through the Parks,Zitrisch,Fruchtig / Grün,"Kopf: Schwarze Johannisbeere, Rosa Grapefruit, Mandarine, Rosa Pfeffer
Herz: Feige, Brennnessel, Galbanum, Indische Tuberose
Basis: Moschus, Cashmeran, Veilchenblatt, Patchouli","grün, fruchtig, zitrisch, holzig","lebhaft, verspielt, frisch","englischer Park im Frühling – duftende Büsche, Beeren und Hölzer","Freizeit, Picknick","Frühling, Sommer",6–7 h,moderat,kombiniert unerwartete Noten wie Brennnessel mit Feige und Zitrus,Miller Harris,Wander Through the Parks,0.40,"Schön frisch aber zu fruchtig, zu süß ",Alsterhaus,,
79,Initio,High Frequency,Floral,Weißblütig,"Kopf: Mandel, Hedione
Herz: Magnolie, Heliotrop
Basis: Sandelholz, Vanille, Moschus","süß, blumig, cremig, holzig","sinnlich, hypnotisch, modern","Wolke aus weißen Blüten und süßen Mandeln, schwebender Klang","Abend, Date","Herbst, Winter, Frühling",8–10 h,stark,Hedione‑reicher Blütenakkord mit Mandel; subtil stimulierend,Initio,High Frequency,0.40,"Jasmin aber zu schwer, zu süß ",Alsterhaus,,
80,BDK Parfums,Citrus Riviera,Zitrisch,Blumig / Grün,"Kopf: Italienische Mandarine, Italienische Zitrone, Marokkanischer Neroli, Feige
Herz: Marokkanische Orangenblüten-Absolue, Eukalyptus, Immortelle-Absolue, Jasmin, Erdbeere
Basis: Indonesisches Patchouli, Tonkabohne-Absolue, Weißer Moschus, Haitischer Vetiver","zitrisch, frisch, floral, süß","hell, tropisch, modern","Riviera-Promenade im Sommer: Zitrushaine, Blüten und warmer Wind","Freizeit, Urlaub","Frühling, Sommer",6–7 h,moderat,fruchtig-zitrische Erfrischung mit cremiger Tonkabasis,BDK Parfums,Citrus Riviera,0.70,"Frisch und super, am Ende aber leicht seifig, testen! Hat am Ende bissige pisse zitrik ",Alsterhaus,,
81,Atelier Cologne,Cédrat Enivrant,Zitrisch,Aromatisch / Kräutrig,"Kopf: Cedrat (Zitronatzitrone), Mexikanische Limette, Bergamotte
Herz: Minze, Wacholder, Basilikum
Basis: Tonkabohne, Vetiver, Eichenholz","spritzig, frisch, grün, würzig","lebhaft, sonnig, erfrischend","Cocktail aus Cedrat, Minze und Tonka an einem Sommerabend","Alltag, Urlaub","Frühling, Sommer",4–6 h,moderat,hyperrealistischer Zitronatzitrone‑Akkord mit aromatischer Minze,Atelier Cologne,Cédrat Enivrant,,,?,,
82,Diptyque,Philosykos (EdT),Holzig,Feige / Grün,"Noten: Feige, Feigenblatt, Feigenholz, Schwarzer Pfeffer","grün, milchig, holzig, süß","entspannt, mediterran, warm","Schatten eines Feigenbaums am Mittelmeer, Kokosmilch und sanfter Pfeffer","Alltag, Urlaub","Frühling, Sommer",5–7 h,moderat,Pionier der Feigen-Düfte; harmonische Balance aus Blättern und Milch,Diptyque,Philosykos (EdT),0.75,"Sehr lecker frisch fruchtig, dezent (edt ist süßer als Parfüm) - eintönig süß feigig",Alsterhaus,,
83,Hermès,Eau de Rhubarbe Écarlate,Zitrisch,Aromatisch / Fruchtig,"Noten: Rhabarber, Westindische Lantana, Weißer Moschus","fruchtig, säuerlich, moschusartig","saftig, erfrischend, verspielt",Sommerlicher Garten voller Rhabarberstängel – süß-säuerlicher Duft,"Alltag, Picknick","Frühling, Sommer",4–5 h,leicht bis moderat,klarer Rhabarber-Soloduft mit grünem Moschus,Hermès,Eau de Rhubarbe Écarlate,0.35,Sauer und süß ,Douglas EEZ,,
84,Maison Crivelli,Citrus Batikanga,Zitrisch,Holzig / Würzig,"Noten: Piment, Bitterorange, Bergamotte, Zeder, Vetiver, Myrrhe","zitrisch, würzig, animalisch, holzig","exotisch, warm, unkonventionell","fruchtiger Cocktail mit Chili, serviert an einer tropischen Bar","Freizeit, Abend","Sommer, Herbst",5–6 h,moderat,"ungewöhnliche Verbindung aus Chili, Myrrhe und Zitrusfrüchten",Maison Crivelli,Citrus Batikanga,0.50,"Zitrisch, chilli, langweilig",Parfums Lubner,,
85,Gallivant,Tel Aviv,Floral,Moschus / Zitrisch,"Kopf: Bergamotte, Mandarine, Weißer Pfirsich
Herz: Jasmin, Freesie, Orangenblüte, Gewürznelke
Basis: Sandelholz, Zedernholz, Muskus, Benzoeharz","zitrisch, floral, cremig, sanft würzig","urban, heiter, lebendig","mediterrane Stadt am Meer – florale Märkte, sonnige Zitrusfrüchte, salzige Luft","Alltag, Reisen","Frühling, Sommer",5–7 h,moderat,fängt die vielfältige Energie Tel Avivs mit Freesie und Zitrus ein,Gallivant,Tel Aviv,,,?,,
86,Jo Malone,Earl Grey & Cucumber,Zitrisch,Aromatisch / Grün / Tee,"Kopf: Bergamotte, Rote Apfel
Herz: Gurke, Engelwurz, Jasmin
Basis: Vanille, Bienenwachs, Moschus","frisch, teaartig, cremig, gourmand","unkonventionell, sanft, cozy",Nachmittagstee – Earl Grey mit Gurkensandwich und süßem Bienenwachs,"Alltag, Nachmittagstee, Büro","Frühling, Sommer",4–6 h,moderat,verspielter Tee‑Duft mit frischer Gurke und cremigem Bienenwachs,Jo Malone,Earl Grey & Cucumber,,,?,,
87,Parle Moi de Parfum,Cedar Woodpecker,Holzig,Pudrig / Vetiver,"Kopf: Zitrusnoten
Herz: Iris
Basis: Zedernholz","holzig, zitrisch, weich","elegant, maskulin, harmonisch","sommerlicher Spaziergang durch einen Zedernhain, Zitrusfrische in der Luft","Alltag, Büro","Frühling, Sommer",5–6 h,moderat,"modernes Zedernholz‑Parfum, das Iris für eine samtige Weichheit nutzt",Parle Moi de Parfum,Cedar Woodpecker,,,?,,
88,Diptyque,Eau de Lierre (EdT),Floral,Aquatisch / Grün,"Noten: Galbanum, Brasilianisches Rosenholz, Cyclamen, Rosa Pfeffer","grün, frisch, holzig, pfeffrig","luftig, natürlich, leicht rau",frisch geschnittene Efeuranken in einem sonnigen Garten,"Alltag, Büro","Frühling, Sommer",5–6 h,moderat,vermittelt authentischen Efeu‑Akkord mit würziger Pfeffernote,Diptyque,Eau de Lierre (EdT),0.70,"Sehr dezent, schwer einzuordnen ",Alsterhaus,,
89,Heeley,Menthe Fraîche,Zitrisch,Aromatisch / Tee,"Kopf: Pfefferminze, Grüne Minze, Sizilianische Bergamotte
Herz: Grüner Tee, Lotusblüte
Basis: Weiße Zeder, Weißer Moschus","minzig, grün, zitrisch, holzig","klar, kühl, belebend",frische Minzblätter und Eistee auf einer Sommerterrasse,"Alltag, Sport","Frühling, Sommer",3–5 h,moderat,fotorealistischer Minzduft mit dezenter Teenuance,Heeley,Menthe Fraîche,,,Parfums Lubner,,
90,Acqua di Parma,Colonia Leather (EdP),Ledrig,Holzig / Zitrisch,"Kopf: Brasilianische Orange, Himbeere, Sizilianische Zitrone
Herz: Geißblatt, Petitgrain, Roter Thymian, Rose
Basis: Leder, Atlas‑Zeder, Gaiac‑Holz","ledrig, würzig, holzig, zitrisch","elegant, luxuriös, raffiniert",italienische Lederwerkstatt mit frischem Citrusduft,"Abend, formelle Anlässe","Herbst, Winter",8–9 h,stark,verbindet frische Zitrusnoten mit hochwertigem Leder im „Signatures of the Sun“‑Stil,Acqua di Parma,Colonia Leather (EdP),,,Alsterhaus,,
91,Byredo,Bal d’Afrique (EdP),Orientalisch,Holzig / Zitrisch-Floral,"Kopf: Afrikanische Ringelblume, Bergamotte, Bucchu (schwarze Johannisbeerblätter), Zitrone, Neroli
Herz: Veilchen, Jasminblüte, Cyclamen
Basis: Vetiver, Marokkanisches Zedernholz, Moschus, Amber","warm, holzig, süß, exotisch","lebensfroh, kosmopolitisch, nostalgisch",1920er‑Jahre‑Paris trifft afrikanische Nächte; Mango‑Vetiver‑Cocktail,"Abend, Party, Alltag",Ganzjährig,7–8 h,moderat,"inspiriert von afrikanischer Kultur, kombiniert Zitrus, Vetiver und Amber",Byredo,Bal d’Afrique (EdP),0.70,"Zitrisch, ganz leicht fruchtig ",Alsterhaus,,
92,Montale,Aqua Gold,Fougère,Leder / Zitrisch,"Lineare Noten: Lavendel, italienische Zitrusfrüchte, Jasmin, Weißer Moschus, Zedernholz, Orangenblüte, Leder","zitrisch-frisch, aromatisch, holzig, ledrig","mediterran, hell, unbeschwert",Spaziergang entlang der Küste Italiens mit sanftem Lavendel und Zitrusbrise,"Alltag, Freizeit","Frühling, Sommer",5–7 h,moderat,verbindet frische Zitrusakkorde mit einer sanften Lederbasis,Montale,Aqua Gold,,,Parfums Lubner,,
93,Maison Francis Kurkdjian,Aqua Celestia Forte,Zitrisch,Aromatisch / Fruchtig,"Kopf: Key Lime, Italienischer Petitgrain, Schwarze Johannisbeerknospe
Herz: Ägyptischer Jasmin-Absolue, Provenzalische Mimose, Englische Pfefferminze
Basis: Moschus","frisch, zitrisch, blumig, minzig","klar, aufmunternd, elegant","Limetten‑Mojito am Morgen, begleitet von Minze und weicher Mimose","Alltag, Büro, sportliche Aktivitäten","Frühling, Sommer",7–8 h,moderat bis stark,intensivierte Version von Aqua Celestia mit Minze und schwarzer Johannisbeere,Maison Francis Kurkdjian,Aqua Celestia Forte,0.35,"Schön zitrisch aquatisch aber leicht seifig, rosig",Alsterhaus,,
